iid,gender,wave,position,order,pid,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2
1,False,1,7,4,11.0,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,False,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,2.0,4.0,6.0,2.0,1.0
1,False,1,7,3,12.0,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,False,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0,4.0,6.0,2.0,1.0
1,False,1,7,10,13.0,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,True,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,5.0,8.0,9.0,8.0,5.0,7.0,7.0,,1.0,4.0,6.0,2.0,1.0
1,False,1,7,5,14.0,23.0,2.0,30.0,5.0,15.0,40.0,5.0,5.0,True,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0,4.0,6.0,2.0,1.0
1,False,1,7,7,15.0,24.0,3.0,30.0,10.0,20.0,10.0,10.0,20.0,True,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,4.0,6.0,2.0,1.0
1,False,1,7,6,16.0,25.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,True,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,False,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,2.0,4.0,6.0,2.0,1.0
1,False,1,7,1,17.0,30.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,False,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,2.0,4.0,6.0,2.0,1.0
1,False,1,7,2,18.0,27.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,False,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,False,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,,4.0,6.0,2.0,1.0
1,False,1,7,8,19.0,28.0,2.0,50.0,0.0,25.0,10.0,0.0,15.0,True,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,2.0,4.0,6.0,2.0,1.0
1,False,1,7,9,20.0,24.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,False,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,True,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,2.0,4.0,6.0,2.0,1.0
2,False,1,3,10,11.0,27.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,False,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,True,24.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,False,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,2.0,3.0,5.0,2.0,
2,False,1,3,9,12.0,22.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,False,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,True,24.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,False,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,2.0,3.0,5.0,2.0,
2,False,1,3,6,13.0,22.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,True,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,24.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,False,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,2.0,3.0,5.0,2.0,
