,iid,gender,age,field,attr,sinc,intel,fun,amb,shar,exercise,hiking,sports,art,museums,reading,shopping,dining,theater,concerts,movies,tv,music,goal
1,2,Female,24.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,3.0,3.0,6.0,8.0,10.0,3.0,10.0,9.0,7.0,8.0,1.0,8.0,1.0
18,19,Male,28.0,8.0,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,5.0,5.0,8.0,7.0,10.0,1.0,7.0,7.0,1.0,7.0,4.0
19,20,Male,24.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,9.0,9.0,8.0,5.0,10.0,8.0,6.0,8.0,3.0,6.0,1.0
30,31,Female,24.0,1.0,35.0,10.0,20.0,20.0,10.0,5.0,7.0,7.0,3.0,7.0,7.0,6.0,10.0,10.0,8.0,6.0,8.0,8.0,7.0,1.0
34,35,Female,25.0,2.0,20.0,23.0,23.0,22.0,7.0,5.0,9.0,5.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,1.0
46,47,Male,30.0,8.0,20.0,20.0,25.0,25.0,5.0,5.0,2.0,3.0,6.0,6.0,7.0,7.0,2.0,8.0,5.0,8.0,8.0,4.0,7.0,1.0
48,49,Male,25.0,8.0,20.0,20.0,20.0,20.0,5.0,15.0,5.0,2.0,10.0,7.0,6.0,9.0,2.0,7.0,5.0,5.0,6.0,5.0,8.0,1.0
51,52,Male,21.0,1.0,15.0,20.0,15.0,30.0,5.0,15.0,3.0,3.0,8.0,4.0,3.0,3.0,4.0,6.0,4.0,3.0,6.0,7.0,5.0,1.0
53,54,Male,28.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0,2.0,8.0,5.0,8.0,7.0,7.0,1.0,8.0,8.0,9.0,6.0,1.0,9.0,5.0
59,60,Female,29.0,3.0,5.0,20.0,25.0,15.0,15.0,20.0,9.0,3.0,3.0,5.0,5.0,5.0,5.0,9.0,10.0,6.0,7.0,2.0,9.0,4.0
65,66,Male,29.0,8.0,20.0,25.0,15.0,15.0,53.0,20.0,3.0,3.0,4.0,3.0,4.0,8.0,4.0,6.0,4.0,4.0,8.0,6.0,6.0,2.0
83,84,Female,32.0,10.0,30.0,30.0,30.0,5.0,0.0,5.0,9.0,3.0,7.0,9.0,9.0,9.0,5.0,9.0,9.0,9.0,10.0,1.0,9.0,2.0
